id,model_type,citation,url,attribution,attribution_url,figure_num,figure_caption,figure_url,textmodel_snipped,textmodel_section_number,textmodel_section_name,textmodel_page_number,watershed_name,lat,lon,area_km2,num_spatial_zones,spatial_property,num_temporal_zones,temporal_property,vegetation_info,soil_info,geol_info,topo_info,three_d_info,uncertainty_info,other_info,num_store,store_list,store_id_list,num_flux,flux_list,flux_id_list,dummy_column,huc_watershed_id
1,Figure model,"Allen, P.M., Harmel, R.D., Arnold, J., Plant, B., Yelderman, J., King, K., 2005. Field data and flow system response in clay (vertisol) shale terrain, north central Texas, USA. Hydrol. Process. Int. J. 19, 2719â€“2736.  ",https://doi.org/10.1002/hyp.5782,Not open-access,https://doi.org/10.1002/hyp.5782,11,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Blacklands Experimental Watershed, USDA-ARS Grassland, Soil and Water Research Laboratory watershed, Riesel, Texas, United States",31.475,-96.879444,0.534,1,N,4,Season,N,N,N,Slopes described,N,N,"Soil properties (surface sealing, cracking)",4,"Water table rise, Groundwater storage, Water table fall, Soil water storage","Sub.GW.Store.Rise, Sub.GW.Store, Sub.GW.Store.Fall, Sub.Soil.Store",2,"Vertical drainage to groundwater, Groundwater flow","Sub.Soil.Drain, Sub.GW.Flow",1,N/A
2,Figure model,"Anderson SP, Dietrich WE, Montgomery DR, Torres R, Conrad ME, Loague K. 1997. Subsurface flow paths in a steep, unchanneled catchment. Water resources research 33 (12): 2637â€“2653 DOI: 10.1029/97wr02595",https://doi.org/10.1029/97wr02595,Not open-access,https://doi.org/10.1029/97wr02595,14,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"CB1, Coos Bay, Oregon, United States",43.4641861,-124.1124162,0.00086,1,Hillslope position,1,N,N,N,N,N,N,Unknown items identified,"This is a longitudinal profile, average transit time given, scale given",6,"Soil water storage, Groundwater storage, Groundwater storage, Water Table, Groundwater storage, Perched water tables","Sub.Soil.Store, Sub.GW.Store, Sub.GW.Store, Sub.GW.Store.Wtable, Sub.GW.Store, Sub.GW.Store.Perch",3,"Variable source area - subsurface stormflow, Infiltration into bedrock, Lateral matrix flow at soil-bedrock interface","Sub.SSFlow.VSAsub, Sub.GW.BedInf, Sub.SSFlow.Matrix.Bedrk",1,N/A
3,Figure model,"Aulenbach, B.T., Hooper, R.P., van Meerveld, H.J., Burns, D.A., Freer, J.E., Shanley, J.B., Huntington, T.G., McDonnell, J.J., Peters, N.E., 2021. The evolving perceptual model of streamflow generation at the Panola Mountain Research Watershed. Hydrol. Process. 35, e14127.",https://doi.org/10.1002/hyp.14127,Not open-access,https://doi.org/10.1002/hyp.14127,4c & 4d,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Panola Mountain Research Watershed, United States",33.631898,-84.172333,0.41,1,N,2,Rainfall intensity,N,N,Geology described,Topography described,N,N,Riparian area only,3,"Riparian unsaturated storage, Riparian aquifer storage, Channel storage","Chan.Store.Rip.Unsat, Chan.Store.Rip, Chan.Store",0,N/A,N/A,1,N/A
4,Figure model,"Bormann H, FaÃŸ T, Giertz S, Junge B, DiekkrÃ¼ger B, Reichert B, Skowronek A. 2005. From local hydrological process analysis to regional hydrological model application in Benin: Concept, results and perspectives. Physics and Chemistry of the Earth, Parts A/B/C 30 (6): 347â€“356 DOI: 10.1016/j.pce.2005.06.005",https://doi.org/10.1016/j.pce.2005.06.005,Not open-access,https://doi.org/10.1016/j.pce.2005.06.005,6,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Aguima catchment, Upper Oueme, Benin",9.13603,1.983488,30,1,N,1,N,N,N,Geology described,N,N,N,Show cross-section of water table slopes/depths for wet and dry seasons,6,"Groundwater storage, Perched water tables, Groundwater storage, Soil water storage, Channel storage, Water Table","Sub.GW.Store, Sub.GW.Store.Perch, Sub.GW.Store, Sub.Soil.Store, Chan.Store, Sub.GW.Store.Wtable",5,"Subsurface stormflow, Losing stream, Overland Flow, Infiltration into bedrock via preferential flow paths, Vertical drainage to groundwater","Sub.SSFlow, Sub.GWSW.Lose, Surf.Over, Sub.GW.BedInf.Macro, Sub.Soil.Drain",1,N/A
5,Figure model,"Brantley SL, White T, West N, Williams JZ, Forsythe B, Shapich D, Kaye J, Lin H, Shi Y, Kaye M, et al. 2018. Susquehanna Shale Hills critical zone observatory: Shale Hills in the context of Shaverâ€™s Creek Watershed. Vadose zone journal: VZJ 17 (1): 1â€“19 DOI: 10.2136/vzj2018.04.0092",https://doi.org/10.2136/vzj2018.04.0092,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,4,"Schematic cross-section showing the upper fractured layer, where feldspar and clay dissolution largely occurs, and the deeper reaction fronts for carbonate and pyrite. The carbonate front is relatively close to today's deep regional water table and is close in depth to the pyrite reaction front under the ridge, where it is hard to ascertain exact depths. The pyrite reaction front is deeper than today's water table under the valley, as shown. Above each reaction front, the mineral of interest becomes depleted. The upper layer of soil and highly fractured rock shown in gray allows lateral subsurface flow (also referred to here as interflow) of water. Most of the water that infiltrates at the land surface flows along this pathway or is lost to evapotranspiration, leaving relatively little water recharging the deep groundwater. Figure reproduced with permission from Brantley et al., (2013).",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/b6f9c1c4fa1d4790b8f5adf59692a0ae/data,N/A,N/A,N/A,N/A,"Susquehanna Shale Hills CZO - Shale Hills, United States",40.664849,-77.907246,0.08,1,N,2,Season with snow,N,N,N,Scale bar shown,N,N,Reaction fronts shown,3,"Soil water storage, Water Table, Soil water storage","Sub.Soil.Store, Sub.GW.Store.Wtable, Sub.Soil.Store",2,"Vertical matrix flow, Subsurface stormflow","Sub.Soil.Matrix, Sub.SSFlow",1,N/A
6,Figure model,"Cain, Molly R, Dong Kook Woo, Praveen Kumar, Laura Keefer, and Adam S Ward, 2022. â€œAntecedent Conditions Control Thresholds of Tile-Runoff Generation and Nitrogen Export in Intensively Managed Landscapes.â€ Water Resources Research 58, no. 2 (2022): e2021WR030507.",https://doi.org/10.1029/2021WR030507,Not open-access,https://doi.org/10.1029/2021WR030507,9,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"IML CZO, Upper Sangamon River Basin, Allerton Trust Farm, United States",40.025,-88.6606,0.1,1,N,3,Wetness,Cropland described,N,N,N,N,N,N,3,"Groundwater storage, Water table rise, Soil water storage","Sub.GW.Store, Sub.GW.Store.Rise, Sub.Soil.Store",4,"Mixing, Tile drain flow, Infiltration, Vertical macropore flow","Sub.Soil.Mix, Human.Sub.SSFlow.Tile, Surf.Inf.Inf, Sub.Soil.Macro",1,N/A
7,Figure model,"Calderon H, Uhlenbrook S. 2016. Characterizing the climatic water balance dynamics and different runoff components in a poorly gauged tropical forested catchment, Nicaragua. Hydrological Sciences Journal 61 (14): 2465â€“2480 DOI: 10.1080/02626667.2014.964244",https://doi.org/10.1080/02626667.2014.964244,Not open-access,https://doi.org/10.1080/02626667.2014.964244,8,Conceptualization of runoff generation at sub-catchment (a) and catchment scale (b),https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Rompeviento and El Nancite, Nicaragua, Nicaragua",11.108522,-85.761414,46,2,Catchment spatial scale,1,N,Vegetation described,N,N,N,N,Unknown items identified,"Joints/faults show, approximate scale given in caption",4,"Soil water storage, Groundwater storage, Groundwater storage, Groundwater storage","Sub.Soil.Store, Sub.GW.Store, Sub.GW.Store, Sub.GW.Store",6,"Vertical drainage to groundwater, Evapotranspiration, Subsurface stormflow, Groundwater flow, Gaining stream, Overland Flow","Sub.Soil.Drain, Surf.ET, Sub.SSFlow, Sub.GW.Flow, Sub.GWSW.Gain, Surf.Over",1,N/A
8,Figure model,"Casper MC, Volkmann HN, Waldenmeyer G, Plate EJ. 2003. The separation of flow pathways in a sandstone catchment of the Northern Black Forest using DOC and a nested Approach. Physics and Chemistry of the Earth, Parts A/B/C 28 (6): 269â€“275 DOI: 10.1016/S1474-7065(03)00037-8",https://doi.org/10.1016/S1474-7065(03)00037-8,Not open-access,https://doi.org/10.1016/S1474-7065(03)00037-8,6,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Duerreychbachtal, Germany",48.755259,8.47529,7,1,N,1,N,N,N,N,N,N,N,N,6,"Soil saturation, Soil water storage, Channel storage, Soil water storage, Soil saturation, Organic Layer","Sub.Soil.Store.Satur, Sub.Soil.Store, Chan.Store, Sub.Soil.Store, Sub.Soil.Store.Satur, Sub.Soil.Store.Organ",8,"Return Flow, Lateral matrix flow, Saturation excess flow, Vertical drainage to groundwater, Lateral matrix flow, Partial area IE flow, Channel flow, Organic layer interflow","Sub.GW.Ret, Sub.SSFlow.Matrix, Surf.Over.SE, Sub.Soil.Drain, Sub.SSFlow.Matrix, Surf.Over.IE.Part, Chan.Flow, Sub.SSFlow.Organ",1,N/A
9,Figure model,"Dwivedi R, Meixner T, McIntosh JC, FerrÃ© PAT, Eastoe CJ, Niu G-Y, Minor RL, Barronâ€Gafford GA, Chorover J. 2019. Hydrologic functioning of the deep critical zone and contributions to streamflow in a highâ€elevation catchment: Testing of multiple conceptual models. Hydrological processes 33 (4): 476â€“494 DOI: 10.1002/hyp.13363",https://doi.org/10.1002/hyp.13363,Not open-access,https://doi.org/10.1002/hyp.13363,6,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Marshall Gulch, Santa Catalina Mountains CZO, United States",32.427351,-110.757857,1.55,1,N,3,Season,N,N,Geology described,N,N,N,"Soil clay content in caption, % streamflow contribution in legend, open boundary noted, extra notes shown on figures",8,"Soil water storage, Water table rise, Channel storage, Perched water tables, Water Table, Dynamic groundwater storage, Total groundwater storage , Groundwater storage","Sub.Soil.Store, Sub.GW.Store.Rise, Chan.Store, Sub.GW.Store.Perch, Sub.GW.Store.Wtable, Sub.GW.Store.Dynam, Sub.GW.Store.Total, Sub.GW.Store",4,"Vertical drainage to groundwater, Subsurface stormflow, Pistonflow, Displacement of groundwater","Sub.Soil.Drain, Sub.SSFlow, Sub.GW.Disp.Piston, Sub.GW.Disp",1,N/A
10,Figure model,"Evans, C., Davies, T.D. and Murdoch, P.S. (1999), Component flow processes at four streams in the Catskill Mountains, New York, analysed using episodic concentration/discharge relationships. Hydrol. Process., 13: 563-575. https://doi-org.libproxy.sdsu.edu/10.1002/(SICI)1099-1085(199903)13:4<563::AID-HYP711>3.0.CO;2-N",https://doi.org/10.1002/(SICI)1099-1085(199903)13:4%3C563::AID-HYP711%3E3.0.CO;2-N,Not open-access,https://doi.org/10.1002/(SICI)1099-1085(199903)13:4%3C563::AID-HYP711%3E3.0.CO;2-N,10,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Catskill Mountains, New York, United States",41.962233,-74.457294,-9999,1,N,3,Event,Forest described,N,N,N,N,N,N,4,"Organic Layer, Soil water storage, Groundwater storage, Channel storage","Sub.Soil.Store.Organ, Sub.Soil.Store, Sub.GW.Store, Chan.Store",0,N/A,N/A,1,N/A
