OBJECTID,Join_Count,TARGET_FID,id,Figure_Text,watershed_name,lat,lon,area_km2,OBJECTID_1,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,ECO_BIOME_,NNH,ECO_ID,SHAPE_LENG,NNH_NAME,COLOR,COLOR_BIO,COLOR_NNH,LICENSE
1,1,1,1,1,"Blacklands Experimental Watershed, USDA-ARS Grassland, Soil and Water Research Laboratory watershed, Riesel, Texas, United States",31.475,-96.879444,0.534,735,Texas blackland prairies,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,NE08,4,401,23.28053135,Nature Imperiled,#F3FC49,#FEFF73,#EE1E23,CC-BY 4.0
2,1,2,2,1,"CB1, Coos Bay, Oregon, United States",43.4641861,-124.1124162,0.00086,144,Central Pacific Northwest coastal forests,5,Temperate Conifer Forests,Nearctic,NE05,2,351,115.1078928,Nature Could Reach Half Protected,#85DE74,#458970,#7BC141,CC-BY 4.0
3,1,3,3,1,"Panola Mountain Research Watershed, United States",33.631898,-84.172333,0.41,35,Appalachian Piedmont forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,3,330,45.7918207,Nature Could Recover,#4EAD37,#00734C,#F9A91B,CC-BY 4.0
4,1,4,4,1,"Aguima catchment, Upper Oueme, Benin",9.13603,1.983488,30,782,West Sudanian savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,4,62,84.5066996,Nature Imperiled,#E69800,#FEAA01,#EE1E23,CC-BY 4.0
5,1,5,5,1,"Susquehanna Shale Hills CZO - Shale Hills, United States",40.664849,-77.907246,0.08,33,Appalachian-Blue Ridge forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,331,66.56053763,Nature Could Reach Half Protected,#00734C,#00734C,#7BC141,CC-BY 4.0
6,1,6,6,1,"IML CZO, Upper Sangamon River Basin, Allerton Trust Farm, United States",40.025,-88.6606,0.1,140,Central US forest-grasslands transition,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,NE08,4,387,62.9558569,Nature Imperiled,#A3FC62,#FEFF73,#EE1E23,CC-BY 4.0
7,1,7,7,1,"Rompeviento and El Nancite, Nicaragua, Nicaragua",11.108522,-85.761414,46,120,Central American dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,NO02,3,527,96.74905205,Nature Could Recover,#DCF63D,#CCCD65,#F9A91B,CC-BY 4.0
8,1,8,8,1,"Duerreychbachtal, Germany",48.755259,8.47529,7,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
9,1,9,9,1,"Marshall Gulch, Santa Catalina Mountains CZO, United States",32.427351,-110.757857,1.55,631,Sierra Madre Occidental pine-oak forests,3,Tropical & Subtropical Coniferous Forests,Nearctic,NE03,3,326,218.0233649,Nature Could Recover,#1EAB3B,#88CE66,#F9A91B,CC-BY 4.0
10,1,10,10,1,"Catskill Mountains, New York, United States",41.962233,-74.457294,-9999,476,New England-Acadian forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,4,338,146.8583702,Nature Imperiled,#5DA655,#00734C,#EE1E23,CC-BY 4.0
