OBJECTID,id,Figure_Text,watershed_name,lat,lon,area_km2,average_soil_and_sedimentary_deposit_thickness,slope_1KMmd_GMTEDmd
1,1,1,"Blacklands Experimental Watershed, USDA-ARS Grassland, Soil and Water Research Laboratory watershed, Riesel, Texas, United States",31.475,-96.879444,0.534,1,0.779924691
2,2,1,"CB1, Coos Bay, Oregon, United States",43.4641861,-124.1124162,0.00086,1,11.13511848
3,3,1,"Panola Mountain Research Watershed, United States",33.631898,-84.172333,0.41,1.058983684,2.794234276
4,4,1,"Aguima catchment, Upper Oueme, Benin",9.13603,1.983488,30,2.25068593,1.077625275
5,5,1,"Susquehanna Shale Hills CZO - Shale Hills, United States",40.664849,-77.907246,0.08,,3.238177776
6,6,1,"IML CZO, Upper Sangamon River Basin, Allerton Trust Farm, United States",40.025,-88.6606,0.1,50,0.111111388
7,7,1,"Rompeviento and El Nancite, Nicaragua, Nicaragua",11.108522,-85.761414,46,7.59326458,1.440587759
8,8,1,"Duerreychbachtal, Germany",48.755259,8.47529,7,0.929898441,12.56399059
9,9,1,"Marshall Gulch, Santa Catalina Mountains CZO, United States",32.427351,-110.757857,1.55,1,10.66989613
10,10,1,"Catskill Mountains, New York, United States",41.962233,-74.457294,-9999,1,6.042998791
11,11,1,"HOAL Petzenkirchen, Vienna, Austria",48.150299,15.153005,0.66,10.27296638,1.497400284
12,12,1,"Yucca Mountain, Nevada, United States",36.8200469,-116.3997208,45,7.98626709,2.23164916
13,13,1,"Kerrien catchment, Brittany, France",47.945492,-4.119702,0.105,15.66444778,1.342276454
14,14,1,"Maimai M8 experimental catchment, New Zealand",-42.0834508,171.7976594,0.038,7.633849621,4.671782494
15,15,1,"WS10, H.J. Andrews, Oregon, United States",44.2171532,-122.2608844,0.102,0.891744971,12.47995853
16,16,1,"Athabasca Oil Sands region, Alberta, Canada",57.136749,-111.610485,132000,12.22000885,0.731246054
17,17,1,"Pedler Creek, Willunga Basin, Australia",-35.21434682,138.5393283,1.36,1.607607841,1.766157985
