name,country,lat,lon,area_km2
"3 watersheds (R, C, B) in Upper Fourmile Branch, South Carolina",United States,33.270199,-81.634021,0.45
A catchment in Cofre de Perote volcano,Mexico,19.488651,-97.042749,0.264
Aglar watershed,India,30.50904,78.145593,
Asker River,Norway,59.884667,10.396556,0.085
"Aguima catchment, Upper Oueme",Benin,9.13603,1.983488,30.0
Aiuaba Experimental Basin,Brazil,-6.7,-40.291667,12.0
"Allt a’ Mharcaidh catchment, Scotland",United Kingdom,57.117868,-3.850469,10.0
Alptal watershed,Switzerland,47.046106,8.707209,5.2
"Archer Creek watershed, New York",United States,43.993389,-74.245337,1.35
Arnás catchment,Spain,42.63864,-0.586388,2.84
Asu,Brazil,-2.602594,-60.205436,6.58
"Athabasca Oil Sands region, Alberta",Canada,57.136749,-111.610485,132000.0
"Augusta Creek, Michigan",United States,42.3533734,-85.3538894,95.0
"Baker Creek watershed, Yellowknife Northwest Territories",Canada,62.513333,-114.409722,165.0
"Moss subwatershed, Baker Creek watershed, Yellowknife Northwest Territories",Canada,62.6,-114.43,9.3
4 sub-basins of Banabuiú watershed,Brazil,-5.138346,-38.125227,
"Baratz catchment, Sardinia",Italy,40.695773,8.235656,7.4
"Bisley II, Luquillo",Puerto Rico,18.314571,-65.746199,0.064
"Bisley, Luquillo",Puerto Rico,18.313855,-65.747149,0.35
"Blacklands Experimental Watershed, USDA-ARS Grassland, Soil and Water Research Laboratory watershed, Riesel, Texas",United States,31.475,-96.879444,0.534
Bohlmicke,Germany,51.079496,7.893308,1.0
Brays Flat Creek Catchment,Australia,-33.061083,148.607861,7.4
Brixenbach,Austria,47.445798,12.263909,9.3
"Brugga experimental basin, Black Forest Mountains",Germany,47.936414,7.95185,40.0
"Bruntland Burn catchment, Scotland",United Kingdom,57.044,-3.120762,3.2
"Buck Creek, New York",United States,43.743942,-74.722189,3.1
Bukit Tarek,Malaysia,3.534456,101.585777,0.328
Bukit Timah,Singapore,1.357325,103.773201,0.05
"Bull and Providence catchments, Kings River Experimental Watersheds, Southern Sierra Nevada, California",United States,37.054156,-119.199208,2.28
Burabay National Nature Park,Kazakhstan,53.071286,70.276545,
"C1-3, Caribou-Poker, Alaska",United States,65.149177,-147.552332,41.7
"C2, Caribou-Poker Creek, Alaska",United States,65.1581678852435,-147.608076042822,5.2
"Can Vila, Vallcebre, Pyrenees",Spain,42.198308,1.8233,0.56
"Caribou-Poker, Alaska",United States,65.150151,-147.483064,5.2
"Casper Creek, California",United States,39.36127,-123.735395,4.73
Catfish Creek watershed,Canada,50.618408,-96.374154,642.0
"Catskill Mountains, New York",United States,41.962233,-74.457294,
"CB1, Coos Bay, Oregon",United States,43.4641861,-124.1124162,0.00086
"Cerro Dantas, Quebrada Grande",Costa Rica,10.09076,-84.044873,3.9
"Chezine Catchment, Nantes",France,47.22118,-1.578756,29.0
Chicamo watershed,Spain,38.192772,-1.05045,0.001
Ciciriello,Italy,40.197935,15.538867,3.0
"Coet Dan, Brittany",France,47.976,-2.812313,12.0
Colpach,Luxembourg,49.768451,5.819306,19.4
Conrad Trail Stream,Panama,9.150606,-79.85719,0.402
