id,citation,url,watershed_name,figure_num,figure_caption,figure_url,attribution,attribution_url,spatial_property,spatial_property_original,num_spatial_zones,temporal_property,temporal_property_original,num_temporal_zones,vegetation_info,vegetation_info_original,soil_info,soil_info_original,geol_info,geol_info_original,topo_info,topo_info_original,three_d_info,three_d_info_original,uncertainty_info,uncertainty_info_original,other_info,num_flux_from_sql,flux_list_from_sql,num_flux_hilary,flux1,flux1_taxonomy,flux2,flux2_taxonomy,flux3,flux3_taxonomy,flux4,flux4_taxonomy,flux5,flux5_taxonomy,flux6,flux6_taxonomy,flux7,flux7_taxonomy,flux8,flux8_taxonomy,flux9,flux9_taxonomy,flux10,flux10_taxonomy,flux11,flux11_taxonomy,flux12,flux12_taxonomy,flux13,flux13_taxonomy,flux14,flux14_taxonomy,num_store,store_list,num_stores,store1,store1_taxonomy,store2,store2_taxonomy,store3,store3_taxonomy,store4,store4_taxonomy,store5,store5_taxonomy,store6,store6_taxonomy,store7,store7_taxonomy,store8,store8_taxonomy,store9,store9_taxonomy,store10,store10_taxonomy
1,"Allen, P.M., Harmel, R.D., Arnold, J., Plant, B., Yelderman, J., King, K., 2005. Field data and flow system response in clay (vertisol) shale terrain, north central Texas, USA. Hydrol. Process. Int. J. 19, 2719–2736.  
",https://doi.org/10.1002/hyp.5782,"Blacklands Experimental Watershed, USDA-ARS Grassland, Soil and Water Research Laboratory watershed, Riesel, Texas",11,Not open-access,,Not open-access,,N,N,1,Season,Seasonal changes in soil cracking and water table,4,N,N,N,N,N,N,Slopes described,Shows difference in water table depth with hillslope position,N,N,N,N,"Soil properties (surface sealing, cracking)",2.0,"Groundwater flow, Vertical drainage to groundwater",4.0,Recharge,Vertical drainage to groundwater, water table rise,Water table rise, slow groundwater movement,Groundwater flow, drainage,Water table fall,,,,,,,,,,,,,,,,,,,,,4.0,"Groundwater storage, Soil water storage, Water table rise, Water table fall",2.0,Saturated,Groundwater Storage, unsaturated,Soil water storage,,,,,,,,,,,,,,,,
2,"Anderson SP, Dietrich WE, Montgomery DR, Torres R, Conrad ME, Loague K. 1997. Subsurface flow paths in a steep, unchanneled catchment. Water resources research 33 (12): 2637–2653 DOI: 10.1029/97wr02595",https://doi.org/10.1029/97wr02595,"CB1, Coos Bay, Oregon",14,Not open-access,,Not open-access,,Hillslope position,Zoomed in area added to main figure,1,N,N,1,N,N,N,N,N,N,N,N,N,N,Unknown items identified,? mark uncertainties in extent of saturated area and location of fracture zone,"This is a longitudinal profile, average transit time given, scale given",3.0,"Infiltration into bedrock, Lateral matrix flow at soil-bedrock interface, Variable source area - subsurface stormflow",2.0,Infiltration into weathered rock layer,Infiltration into bedrock, rapid lateral flow moving between colluvium and weathered rock,Lateral matrix flow at soil-bedrock interface,,,,,,,,,,,,,,,,,,,,,,,,,6.0,"Water Table, Soil water storage, Groundwater storage, Groundwater storage, Groundwater storage, Perched water tables",7.0, perched water table,Perched water tables, water table,Water Table, subsurface variable source area,Variable source area - subsurface stormflow,Colluvium,Soil water storage,"Weathered rock (Saprolite, oxidized rock)",Groundwater Storage,fractured rock,Groundwater Storage ,fresh rock,Groundwater Storage ,,,,,,
3,"Aulenbach, B.T., Hooper, R.P., van Meerveld, H.J., Burns, D.A., Freer, J.E., Shanley, J.B., Huntington, T.G., McDonnell, J.J., Peters, N.E., 2021. The evolving perceptual model of streamflow generation at the Panola Mountain Research Watershed. Hydrol. Process. 35, e14127.",https://doi.org/10.1002/hyp.14127,Panola Mountain Research Watershed,4c & 4d,Not open-access,,Not open-access,,N,N,1,Rainfall intensity,Dry/Wet conditions,2,N,N,N,N,Geological types described,Y,Topography described,Stream profile shape shown,N,N,N,N,Riparian area only,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,"Channel storage, Riparian aquifer storage, Riparian unsaturated storage",3.0, riparian aquifer unsaturated,Riparian unsaturated storage, riparian aquifer saturated,Riparian aquifer storage, stream channel,Channel storage,,,,,,,,,,,,,,
4,"Bormann H, Faß T, Giertz S, Junge B, Diekkrüger B, Reichert B, Skowronek A. 2005. From local hydrological process analysis to regional hydrological model application in Benin: Concept, results and perspectives. Physics and Chemistry of the Earth, Parts A/B/C 30 (6): 347–356 DOI: 10.1016/j.pce.2005.06.005",https://doi.org/10.1016/j.pce.2005.06.005,"Aguima catchment, Upper Oueme",6,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,Geological types described,Y,N,N,N,N,N,N,Show cross-section of water table slopes/depths for wet and dry seasons,5.0,"Vertical drainage to groundwater, Subsurface stormflow, Losing stream, Overland Flow, Infiltration into bedrock via preferential flow paths",5.0,Surface flow,Overland flow, interflow,Subsurface stormflow, percolation,Vertical drainage to groundwater, seepage (=channel loss),Losing stream, groundwater recharge via preferential flow paths,Infiltration into bedrock via preferential flow paths,,,,,,,,,,,,,,,,,,,6.0,"Channel storage, Water Table, Soil water storage, Groundwater storage, Perched water tables, Groundwater storage",6.0, water table,Water Table, dynamic water table (=perched),Perched water tables, channel (no label),Channel storage,Sand,Soil water storage, Saprolith,Groundwater Storage, Migmatitic basement,Groundwater Storage ,,,,,,,,
5,"Brantley SL, White T, West N, Williams JZ, Forsythe B, Shapich D, Kaye J, Lin H, Shi Y, Kaye M, et al. 2018. Susquehanna Shale Hills critical zone observatory: Shale Hills in the context of Shaver’s Creek Watershed. Vadose zone journal: VZJ 17 (1): 1–19 DOI: 10.2136/vzj2018.04.0092",https://doi.org/10.2136/vzj2018.04.0092,Susquehanna Shale Hills CZO - Shale Hills,4,"Schematic cross-section showing the upper fractured layer, where feldspar and clay dissolution largely occurs, and the deeper reaction fronts for carbonate and pyrite. The carbonate front is relatively close to today's deep regional water table and is close in depth to the pyrite reaction front under the ridge, where it is hard to ascertain exact depths. The pyrite reaction front is deeper than today's water table under the valley, as shown. Above each reaction front, the mineral of interest becomes depleted. The upper layer of soil and highly fractured rock shown in gray allows lateral subsurface flow (also referred to here as interflow) of water. Most of the water that infiltrates at the land surface flows along this pathway or is lost to evapotranspiration, leaving relatively little water recharging the deep groundwater. Figure reproduced with permission from Brantley et al., (2013).",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/b6f9c1c4fa1d4790b8f5adf59692a0ae/data,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,N,N,1,Season with snow,Winter/summer,2,N,N,N,N,N,N,Scale bar shown,"Shows vertical scales at ridge on both sides of valley, and lateral scale",N,N,N,N,Reaction fronts shown,2.0,"Vertical matrix flow, Subsurface stormflow",2.0,Infiltration through unsaturated zone (=vertical matrix flow?),Vertical matrix flow, lateral subsurface flow/interflow,Subsurface stormflow,,,,,,,,,,,,,,,,,,,,,,,,,3.0,"Soil water storage, Water Table, Soil water storage",3.0, unsaturated zone,Soil water storage, water table,Water Table,Fractured layer where clay dissolution initiates,Soil water storage ,,,,,,,,,,,,,,
6,"Cain, Molly R, Dong Kook Woo, Praveen Kumar, Laura Keefer, and Adam S Ward. “Antecedent Conditions Control Thresholds of Tile-Runoff Generation and Nitrogen Export in Intensively Managed Landscapes.” Water Resources Research 58, no. 2 (2022): e2021WR030507.",https://doi.org/10.1029/2021WR030507,"IML CZO, Upper Sangamon River Basin, Allerton Trust Farm",9,Not open-access,,Not open-access,,N,N,1,Wetness,Three progressive wetting steps,3,Cropland described,Corn icons shown,N,N,N,N,N,N,N,N,N,N,,4.0,"Vertical macropore flow, Infiltration, Mixing, Tile drain flow",5.0,Infiltration (into soil),Infiltration  , mobililzation of soil water,Mixing,"preferential flow (vertical,  in soil)",Vertical macropore flow, water table rise,Water table rise, tile drain runoff,Tile drain flow,,,,,,,,,,,,,,,,,,,3.0,"Water table rise, Soil water storage, Groundwater storage",2.0,Soil matrix water,Soil water storage, groundwater,Groundwater Storage,,,,,,,,,,,,,,,,
7,"Calderon H, Uhlenbrook S. 2016. Characterizing the climatic water balance dynamics and different runoff components in a poorly gauged tropical forested catchment, Nicaragua. Hydrological Sciences Journal 61 (14): 2465–2480 DOI: 10.1080/02626667.2014.964244",https://doi.org/10.1080/02626667.2014.964244,"Rompeviento and El Nancite, Nicaragua",8,Not open-access,,Not open-access,,Catchment spatial scale,Subcatchment and catchment scale,2,N,N,1,Vegetation described,Y,N,N,N,N,N,N,N,N,Unknown items identified,Lower boundary shown as ? marks,"Joints/faults show, approximate scale given in caption",6.0,"Groundwater flow, Overland Flow, Vertical drainage to groundwater, Gaining stream, Evapotranspiration, Subsurface stormflow",6.0,Recharge,Vertical drainage to groundwater, surface runoff,Overland flow,subsurface stormflow,Subsurface stormflow, baseflow,Gaining stream, groundwater flow,Groundwater flow,Evaporation,Evapotranspiration,,,,,,,,,,,,,,,,,4.0,"Groundwater storage, Groundwater storage, Soil water storage, Groundwater storage",4.0,Soil,Soil water storage, groundwater,Groundwater Storage,shale/limestone,Groundwater Storage ,sandstone,Groundwater Storage ,,,,,,,,,,,,
8,"Casper MC, Volkmann HN, Waldenmeyer G, Plate EJ. 2003. The separation of flow pathways in a sandstone catchment of the Northern Black Forest using DOC and a nested Approach. Physics and Chemistry of the Earth, Parts A/B/C 28 (6): 269–275 DOI: 10.1016/S1474-7065(03)00037-8",https://doi.org/10.1016/S1474-7065(03)00037-8,Duerreychbachtal,6,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,,8.0,"Channel flow, Lateral matrix flow, Return Flow, Partial area IE flow, Organic layer interflow, Lateral matrix flow, Vertical drainage to groundwater, Saturation excess flow",9.0,Soil saturation,Soil saturation, saturation excess flow,Saturation excess flow,return flow,Return Flow, lateral flow from O soil horizon,Organic layer interflow, lateral flow from Ah soil horizon,Lateral matrix flow, lateral flow from B soil horizon,Lateral matrix flow , groundwater recharge,Vertical drainage to groundwater, runoff on tracks,Partial area IE flow, stream discharge,Channel flow,,,,,,,,,,,6.0,"Organic Layer, Soil water storage, Soil water storage, Channel storage, Soil saturation, Soil saturation",5.0,O horizon,Organic Layer,saturation of the soil body,Soil saturation,Ah horizon,Soil water storage,b horizon,Soil water storage , channel ,Channel storage,,,,,,,,,,
9,"Dwivedi R, Meixner T, McIntosh JC, Ferré PAT, Eastoe CJ, Niu G-Y, Minor RL, Barron‐Gafford GA, Chorover J. 2019. Hydrologic functioning of the deep critical zone and contributions to streamflow in a high‐elevation catchment: Testing of multiple conceptual models. Hydrological processes 33 (4): 476–494 DOI: 10.1002/hyp.13363",https://doi.org/10.1002/hyp.13363,"Marshall Gulch, Santa Catalina Mountains CZO",6,Not open-access,,Not open-access,,N,N,1,Season,Winter/Dry/Summer seasons,3,N,N,N,N,Geological types described,Y  ,N,N,N,N,N,N,"Soil clay content in caption, % streamflow contribution in legend, open boundary noted, extra notes shown on figures",4.0,"Subsurface stormflow, Displacement of groundwater, Pistonflow, Vertical drainage to groundwater",5.0,Recharge,Vertical drainage to groundwater, summer/winter season recharge pulse (spatially constrained rise in water table),Water table rise,soil water flow,Subsurface stormflow,shallow groundwater flow,Displacement of groundwater,deep groundwater flow,Pistonflow,,,,,,,,,,,,,,,,,,,8.0,"Total groundwater storage , Soil water storage, Dynamic groundwater storage, Water Table, Channel storage, Perched water tables, Water table rise, Groundwater storage",7.0,Soil water,Soil water storage, shallow groundwater (shown as perched water table),Perched water tables, deep groundwater,Groundwater Storage, active groundwater flow zone,Dynamic groundwater storage, inactive groundwater zone,Total groundwater storage, channel,Channel storage,water table,Water Table,,,,,,
10,"Evans, C., Davies, T.D. and Murdoch, P.S. (1999), Component flow processes at four streams in the Catskill Mountains, New York, analysed using episodic concentration/discharge relationships. Hydrol. Process., 13: 563-575.",https://doi.org/10.1002/(SICI)1099-1085(199903)13:4%3C563::AID-HYP711%3E3.0.CO;2-N,"Catskill Mountains, New York",10,Not open-access,,Not open-access,,N,N,1,Event,"Pre-event, rising limb, falling limb",3,Forest described,Tree icons shown of deciduous/pine,N,N,N,N,N,N,N,N,N,N,,0.0,,3.0,,Channel interception,,Lateral matrix flow,,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,,4.0,"Channel storage, Organic Layer, Soil water storage, Groundwater storage",4.0,Stream channel,Channel storage, organic horizon,Organic Layer, pre-event soil water,Soil water storage, pre-event groundwater,Groundwater Storage ,,,,,,,,,,,,
