process,alternative_names,function,identifier,process_level
Surface,,,Surf,1
Evapotranspiration,,Release,Surf.ET,2
Evaporation,,Release,Surf.ET.Evap,3
Canopy evaporation,,Release,Surf.ET.Evap.Canopy,4
Open water evaporation,"Lake evaporation, Pan evaporation",Release,Surf.ET.Evap.Water,4
Soil surface evaporation,"Soil evaporation, bare ground evaporation",Release,Surf.ET.Evap.Soil,4
Channel Evaporation,,Release,Surf.ET.Evap.Chan,4
Transpiration,Root water uptake,Release,Surf.ET.Transp,3
Riparian transpiration,,Release,Surf.ET.Transp.Rip,4
Groundwater transpiration,,Release,Surf.ET.Transp.GW,4
Interception Processes,,Filling of store,Surf.Int,2
Interception,,Filling of store,Surf.Int.Int,3
Cloud water interception,"Fog interception, Fog deposition",Filling of store,Surf.Int.Int.Cloud,4
Canopy Interception,,Filling of store,Surf.Int.Int.Canopy,4
Forest floor interception,Leaf litter interception,Filling of store,Surf.Int.Int.Forest,4
Stemflow,,In-catchment flux,Surf.Int.Stem,3
Throughfall,"Drip, Subcanopy rainfall",In-catchment flux,Surf.Int.Thru,3
Fog drip,,In-catchment flux,Surf.Int.Thru.Fog,4
Snow Processes,,,Surf.Snow,2
Canopy snow interception ,"Snowfall interception, Canopy snow loading",Filling of store,Surf.Snow.Canopy,3
Canopy snow unloading,,In-catchment flux,Surf.Snow.Unload,3
Infiltration into snowpack,,Filling of store,Surf.Snow.Inf,3
Fingering (into snowpack),"Non-steady infiltration, Heterogeneous flow, Preferential infiltration, Drain Channels, Flow channels",Filling of store,Surf.Snow.Inf.Finger,4
Snow storage,"Snow accumulation, Snow water equivalent, Snow cover",Store,Surf.Snow.Stor,3
Intermittent snow storage,,"Store, temporary",Surf.Snow.Stor.Interm,4
Seasonal snow storage,,"Store, temporary",Surf.Snow.Stor.Season,4
Snowpack aging,Snowpack metamorphism,"Store characteristics, temporary",Surf.Snow.Age,3
Change in albedo,"Albedo decay, Albedo evolution","Store characteristics, temporary",Surf.Snow.Age.Albedo,4
Change in grain size,"Destructive/constructive metamorphism, grain growth","Store characteristics, temporary",Surf.Snow.Age.Grain,4
Compaction,"Settling, Settlement, Increase in density, Freeze-thaw","Store characteristics, temporary",Surf.Snow.Age.Compac,4
Formation of layers/lenses,Snow stratigraphy,"Store characteristics, temporary",Surf.Snow.Age.Layer,4
Snow drifting,"Blowing snow, Snow redistribution, Snow transport, Wind transport",In-catchment flux,Surf.Snow.Drift,3
Saltation,,In-catchment flux,Surf.Snow.Drift.Salt,4
Suspension,,In-catchment flux,Surf.Snow.Drift.Susp,4
Snowmelt,"Ablation, Snow cover depletion, SCA depletion",Release from store,Surf.Snow.Melt,3
Ripening,"Liquid water content, snowpack retention store, isothermal","Store characteristics, temporary",Surf.Snow.Melt.Ripen,4
Macropore flow within snowpack,,In-store flux,Surf.Snow.Melt.Macro,4
Basal flow,"Lateral downslope flow, Lateral redistribution",Release from store,Surf.Snow.Melt.Basal,4
Diurnal cycles in snowmelt,"Diel cycles in snowmelt, Daily cycles in snowmelt",Release from store,Surf.Snow.Melt.Diurn,4
Refreezing,,"Store characteristics, temporary",Surf.Snow.Refrz,3
Sublimation,,Release,Surf.Snow.Subl,3
Canopy sublimation,,Release,Surf.Snow.Subl.Canopy,4
Sublimation during blowing snow events,,Release,Surf.Snow.Subl.Blow,4
Glacier Processes,,,Surf.Glac,2
Glacier storage,,Store,Surf.Glac.Stor,3
Glacier melt,Ablation,Release from store,Surf.Glac.Melt,3
Firnmelt,,Release from store,Surf.Glac.Melt.Firn,4
